Id	Priority	UpProbability	Bg	ProbabilityBg	UpProbabilityDesc	UpProbabilityPercent	IsChangePos	IconPosX	IconPosY	IsChangeSize	IconWidth	IconHeight	IsChangeRot	RotZ	NewTimeId
101	10000	Basic Mode	Assets/Product/Texture/Image/UiDrawLog/RandomACharDrawNew.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png											
301	8170	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	18.0	5.0	1	706.51	764.5999	1	-10.0	
302	8160	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.0	8.0	1	481.13	520.6799	1	-10.0	
303	8150	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.0	8.0	1	481.13	520.6799	1	-10.0	
304	8140	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
305	8130	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
306	8120	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-17.0	16.0	1	559.2399	605.21	1	-10.0	
307	8110	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-10.0	19.0	1	613.94	664.4099	1	-10.0	
308	8100	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
309	8090	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-6.0	7.0	1	589.5599	638.03	1	-10.0	
310	8080	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-6.0	7.0	1	571.94	618.9699	1	-10.0	
311	8070	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1		24.0	1	696.6199	753.89	1	-10.0	
312	8060	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	2.0	7.0	1	663.8599	718.44	1	-10.0	
313	8050	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	10.0	9.0	1	645.95	699.0599	1	-10.0	
314	8040	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-4.0	17.0	1	688.4299	745.02	1	-10.0	
315	8030	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	2.0	7.0	1	565.64	612.15	1	-10.0	
316	8020	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-14.0	9.0	1	455.72	493.1799	1	-10.0	
317	8010	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	2.0	7.0	1	663.8599	718.44	1	-10.0	
318	8000	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-37.0	-4.0	1	550.7999	596.08	1	-10.0	
319	7990	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-14.0	-3.0	1	613.94	664.4099	1	-10.0	
320	7980	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	10.0	9.0	1	645.95	699.0599	1	-10.0	
321	7970	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-27.0	-26.0	1	546.395	591.3099	1	-10.0	
