Id	VoiceId	TimelinePath	CharacterPrefabPath	WeaponPrefabPaths[1]	WeaponPrefabPaths[2]	WeaponPrefabPaths[3]	WeaponPrefabPaths[4]	WeaponPrefabPaths[5]	WeaponPrefabPaths[6]	WeaponMountBoneNames[1]	WeaponMountBoneNames[2]	WeaponMountBoneNames[3]	WeaponMountBoneNames[4]	WeaponMountBoneNames[5]	WeaponMountBoneNames[6]	CameraPrefabPath	MainCameraPrefabPath	UiShowTime	EffectPrefabPaths[1]	EffectPrefabPaths[2]	EffectPrefabPaths[3]	EffectPrefabPaths[4]	EffectPrefabPaths[5]	EffectPrefabPaths[6]	EffectPrefabPaths[7]	EffectPrefabPaths[8]	EffectPrefabPaths[9]	EffectPrefabPaths[10]	EffectPrefabPaths[11]	EffectPrefabPaths[12]	EffectPrefabPaths[13]	EffectBoneNames[1]	EffectBoneNames[2]	EffectBoneNames[3]	EffectBoneNames[4]	EffectBoneNames[5]	EffectBoneNames[6]	EffectBoneNames[7]	EffectBoneNames[8]	EffectBoneNames[9]	EffectBoneNames[10]	EffectBoneNames[11]	EffectBoneNames[12]	EffectBoneNames[13]
1361003	160080	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3DanteMd010011.playable	Assets/Product/Role/CharaterPrefab/R3DanteMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DdevilsworddanteMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DbalrogMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DfaustMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DcoyoteaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DivoryMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3DebonyMd010011.prefab	WeaponCase1	WeaponCase2	WeaponCase3	WeaponCase4	WeaponCase5	WeaponCase6	Assets/Product/Camera/Track/R3DanteMd010011/Layer1/CTDante03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	6.23	Assets/Product/Effect/Prefab/FxR3DantePrefab/Common/FxR3DanteWinMA.prefab	Assets/Product/Effect/Prefab/FxR3DantePrefab/Common/FxR3DanteWin.prefab	Assets/Product/Effect/Prefab/FxR3DantePrefab/Common/FxR3DanteWinHair.prefab	Assets/Product/Effect/Prefab/FxR3DantePrefab/Common/FxR3DanteWinPingmu.prefab	Assets/Product/Effect/Prefab/FxR3DantePrefab/Common/FxR3DanteWinMA02.prefab									EffectRoot	EffectRoot	Bip001Head	MainCamera	EffectRoot								
1031005	165080	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR5LifuMd010011.playable	Assets/Product/Role/CharaterPrefab/R5LifuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2LotusbladeMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R5LifuMd010011/Common/CTLifu05Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.53	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWin.prefab	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWin02.prefab	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWinMA.prefab	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWinPingmu.prefab	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWinTrail.prefab	Assets/Product/Effect/Prefab/FxR5LifuPrefab/Common/FxR5LifuWinTrail02.prefab								EffectRoot	WeaponCaseR	EffectRoot	MainCamera	LotusBone03|LotusBone04|LotusBone05|LotusBone06|LotusBone07|LotusBone08|LotusBone09|LotusBone10	LotusBone03|LotusBone04|LotusBone05|LotusBone06|LotusBone07|LotusBone08|LotusBone09|LotusBone10							
1561003	131078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2HakamaMd010011.playable	Assets/Product/Role/CharaterPrefab/R2HakamaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2SickMd040011.prefab						WeaponCase1						Assets/Product/Camera/Track/R2HakamaMd010031/Common/CTHakama02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.4																										
1511003	113071	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2KamuMd010011.playable	Assets/Product/Role/CharaterPrefab/R2KamuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2KamuMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R2KamuMd010011/Common/CTKamu02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.5599	Assets/Product/Effect/Prefab/FxR2KamuPrefab/Common/FxR2KamuWin.prefab													EffectRoot												
1541003	126078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2LuolanMd010011.playable	Assets/Product/Role/CharaterPrefab/R2LuolanMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2LuolanMainMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2LuolanSubMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R2LuolanMd010021/Common/CTLuolan02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.73	Assets/Product/Effect/Prefab/FxR2LuolanPrefab/Common/FxR2LuolanWin.prefab													EffectRoot												
1571003	133078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2NuoanMd010011.playable	Assets/Product/Role/CharaterPrefab/R2NuoanMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2NuoanMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3NuoanSubMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R2NuoanMd010031/Common/CTNuoan02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.23	Assets/Product/Effect/Prefab/FxR2NuoanPrefab/Common/FxR2NuoanWinSound.prefab													EffectRoot												
1551003	129078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2PulaoMd010011.playable	Assets/Product/Role/CharaterPrefab/R2PulaoMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2BoomerangMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R2PulaoMd010031/Common/CTPulao02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.23	Assets/Product/Effect/Prefab/FxR2PulaoPrefab/Common/FxR2PulaoWin.prefab													EffectRoot												
1521003	116085	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR2QuMd010011.playable	Assets/Product/Role/CharaterPrefab/R2QuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2QuMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R2QuMd010011/Common/CTQu02Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.5599	Assets/Product/Effect/Prefab/FxR2QuPrefab/Common/FxR2QuWin.prefab													EffectRoot												
1091003	137081	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3AilaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3AilaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2BeamlanceMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3AilaMd010031/Common/CTAila03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.0	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWin.prefab	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWinBip001Head.prefab	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWinBoneRThighTwist1.prefab	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWinBoneRThighTwist2.prefab	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWin02.prefab	Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaWinpingmu.prefab								EffectRoot	Bip001Head	BoneRThighTwist1	BoneRThighTwist2	EffectRoot	MainCamera							
1201003	119046	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3AtwoMd010011.playable	Assets/Product/Role/CharaterPrefab/R3AtwoMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3A2Md010011.prefab						WeaponCaseEx1						Assets/Product/Camera/Track/R3AtwoMd010011/CTAtwo03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	1.8999	Assets/Product/Effect/Prefab/FxR3AtwoPrefab/FxR3AtwoWin.prefab													EffectRoot												
