Id	Name	Icon	Type	BaseDesc	UpgradeDesc	StatusDict[1]	StatusDict[2]	StatusDict[3]	StatusDict[4]	StatusDict[5]	StatusDict[6]	StatusDict[7]	StatusDict[8]	StatusDict[9]	StatusDict[10]	StatusDict[11]	StatusDict[12]	StatusDict[13]	StatusDict[14]	StatusDict[15]	StatusDict[16]	StatusDict[17]	StatusDict[18]	StatusDict[19]	StatusDict[20]	StatusDict[21]	StatusDict[22]	StatusDict[23]	StatusDict[24]	StatusDict[25]	StatusDict[26]	StatusDict[27]	StatusDict[28]	StatusDict[29]	StatusDict[30]	StatusDict[31]	StatusDict[32]	StatusDict[33]	StatusDict[34]	StatusDict[35]	StatusDict[36]	StatusDict[37]	StatusDict[38]	StatusDict[39]	StatusDict[40]	StatusDict[41]	StatusDict[42]	StatusDict[43]	StatusDict[44]	StatusDict[45]	StatusDict[46]	StatusDict[47]	StatusDict[48]	StatusDict[49]	StatusDict[50]	StatusDict[51]	StatusDict[52]
10001	Fixer	Assets/Product/Texture/Image/Role/RoleHeadBanshouQ.png	1	Keeps moving toward the player and deals DMG on collision.	HP +16 per wave.\nCollision DMG +0.75 per wave.																																																		80	20	3
10002	Fixer: Bass Drop	Assets/Product/Texture/Image/UiPBR/PBRMonster10007.png	1	Higher HP.\nKeeps moving toward the player and deals DMG on collision.	HP +24 per wave.\nCollision DMG +0.75 per wave.																																																		60	30	3
10003	Fixer: High Freq	Assets/Product/Texture/Image/UiPBR/PBRMonster10008.png	1	Higher movement speed.\nKeeps moving toward the player and deals DMG on collision.	HP +16 per wave.\nCollision DMG +0.75 per wave.																																																		120	18	3
10004	Fixer: Radiant Freq	Assets/Product/Texture/Image/UiPBR/PBRMonster10010.png	1	Higher gift box drop rate.\nKeeps moving toward the player and deals DMG on collision.	HP +20 per wave.\nCollision DMG +0 per wave.																																																		80	22	1
10005	Fixer: Midrange	Assets/Product/Texture/Image/UiPBR/PBRMonster10009.png	1	Higher Signal Orb drop rate.\nKeeps moving toward the player and deals DMG on collision.	HP +16 per wave.\nCollision DMG +0.5 per wave.																																																		80	18	2
10006	Fixer: Ultimate Remix	Assets/Product/Texture/Image/UiPBR/PBRMonster10011.png	1	Dances on entry!\nGains increased damage, armor, and movement speed.\nKeeps moving toward the player and deals DMG on collision.	HP +16 per wave.\nCollision DMG +0.75 per wave.																																																		160	20	3
20001	Pointy	Assets/Product/Texture/Image/Role/RoleChangmaoQ.png	1	Deals DMG on collision.\nKeeps circling the player from farther away and periodically fires straight-line barrages.	HP +10 per wave.\nCollision DMG +0.5 per wave.																																																		40	12	2
20002	Pointy: Bass Drop	Assets/Product/Texture/Image/UiPBR/PBRMonster10005.png	1	Higher HP.\nDeals DMG on collision.\nKeeps circling the player from farther away and periodically fires straight-line barrages.	HP +12 per wave.\nCollision DMG +0.5 per wave.																																																		40	14	2
20003	Pointy: High Freq	Assets/Product/Texture/Image/UiPBR/PBRMonster10006.png	1	Higher movement speed.\nDeals DMG on collision.\nKeeps circling the player from farther away and periodically fires straight-line barrages.	HP +12 per wave.\nCollision DMG +0.5 per wave.																																																		60	10	2
20004	Pointy: Ultimate Remix	Assets/Product/Texture/Image/UiPBR/PBRMonster20004.png	1	Dances on entry!\nGains increased damage, armor, and movement speed.\nDeals DMG on collision.\nKeeps circling the player from farther away and periodically fires straight-line barrages.	HP +10 per wave.\nCollision DMG +0.5 per wave.																																																		80	12	2
