Id	Name	BaseDesc	Icon	LevelDescList[1]	LevelDescList[2]	LevelDescList[3]	LevelDescList[4]
1	Shifting Nimbus	Performs 3 sweeping melee attacks against nearby enemies, centered on the character.	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	I. DMG: <color=#67ef8a>10/10/10.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. Increases DMG to <color=#67ef8a>15/15/15.</color> When the last hit lands, gains <color=#67ef8a>1</color> Sprint Charge.	IV. After casting, summons a clone that casts the skill one extra time in place.
2	Stinger	Performs a thrusting melee attack on the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	I. DMG: <color=#67ef8a>35.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. Increases DMG to <color=#67ef8a>50</color>. Greatly expands thrust range. Passive upgrade: Red Orb drop rate <color=#67ef8a>+25%</color>.	IV. Passive: When picking up Signal Orbs, gains <color=#67ef8a>1</color> bonus EXP.
3	Swipe	Performs a fan-shaped slashing melee attack on the nearest enemy in an area centered on the character.	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	I. DMG: <color=#67ef8a>25 +</color> Max HP <color=#67ef8a>x 10%</color>.	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. DMG increases to <color=#67ef8a>35 + </color>Max HP<color=#67ef8a> x 15%</color>. Passive: Each cast increases max HP by <color=#67ef8a>1</color>.	IV. Greatly increases the fan-shaped attack area.
4	Vibrant Stroke	Continuously deals DMG to nearby enemies in an area centered on the character.	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	I. Lasts <color=#67ef8a>2</color>s. DMG per second: <color=#67ef8a>24.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. Increases DMG per second to <color=#67ef8a>32</color>. Each time an enemy is hit, Movement Speed <color=#67ef8a>+20,</color> for <color=#67ef8a>5</color>s. Duration resets every time it is triggered.	IV. Greatly increases the DMG duration and DMG area.
5	Dazzle	The next several basic attacks have a higher Signal Orb drop rate. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks.	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	I. Lasts <color=#67ef8a>5</color> basic attacks, Signal Orb drop rate <color=#67ef8a>+15%.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Signal Orb drop rate increases by <color=#67ef8a>30%</color>. The effect now lasts for <color=#67ef8a>7</color> basic attacks. Passive: Basic Attack DMG increases by <color=#67ef8a>25%</color>.	IV. Passive: When picking up Signal Orbs, gains <color=#67ef8a>1</color> bonus EXP.
6	Thundering Rush	Performs a thrusting melee attack on the nearest enemy. When hitting more than <color=#67ef8a>3</color> enemies, Basic Attack DMG Bonus <color=#67ef8a>+10%</color>.	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	I. DMG: <color=#67ef8a>35.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. Increases DMG to <color=#67ef8a>50.</color>	IV. After a skill hits, Basic Attack Speed <color=#67ef8a>+50%</color> for <color=#67ef8a>5</color>s.
7	Reactive Fire	Fires <color=#67ef8a>3</color> straight-line shots at the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	I. DMG per hit: <color=#67ef8a>30.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases DMG per hit to <color=#67ef8a>50</color>. CRIT Rate <color=#67ef8a>+25%</color> for <color=#67ef8a>2</color>s.	IV. Increases shot count to <color=#67ef8a>6</color>, and increases DMG per hit to <color=#67ef8a>60 +</color> Luck <color=#67ef8a>x 50%</color>.
8	Ricochet Rounds	Fires tracking bullets at the nearest enemy. The bullets ricochet between enemies.	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	I. Ricochet count is capped at <color=#67ef8a>3</color>. DMG equals <color=#67ef8a>25 +</color> Range <color=#67ef8a>x 200%</color>.	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases ricochet count to <color=#67ef8a>5</color>, and increases DMG to <color=#67ef8a>35 +</color> Range <color=#67ef8a>x 300%</color>.	IV. Removes the ricochet limit.
9	Explosive Throw	Fires explosive rounds at the nearest enemy. The blast leaves behind a burning area that deals continuous DMG.	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	I. Deals <color=#67ef8a>20</color> DMG per second for <color=#67ef8a>3</color>s.	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases DMG duration to <color=#67ef8a>6</color>s, and increases DMG per second to <color=#67ef8a>24</color>.	IV. Greatly increases the DMG area, and DMG rises over the duration.
10	Active Guard	Summons a chess piece that fires tracking bullets at the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	I. The chess piece lasts <color=#67ef8a>8</color>s. DMG: <color=#67ef8a>10.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases chess piece DMG to <color=#67ef8a>13</color>. Bullets explode in a small area on hit, dealing the same DMG.	IV. Greatly increases the explosion radius.
