Id	SkillId	Level	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	SubSkillId[4]	SubSkillId[5]	SubSkillId[6]	SubSkillId[7]	SubSkillId[8]	SubSkillId[9]	SubSkillId[10]	SubSkillId[11]	SubSkillId[12]	SubSkillId[13]	SubSkillId[14]	SubSkillId[15]	SubSkillId[16]	SubSkillId[17]	SubSkillId[18]	SubSkillId[19]	SubSkillId[20]	SubSkillId[21]	SubSkillId[22]	SubSkillId[23]	SubSkillId[24]	SubSkillId[25]	SubSkillId[26]	SubSkillId[27]	SubSkillId[28]	SubSkillId[29]	SubSkillId[30]	SubMagicId[1]	SubMagicId[2]	SubMagicId[3]	SubMagicId[4]	SubMagicId[5]	SubMagicId[6]	SubMagicId[7]	SubMagicId[8]	SubMagicId[9]	SubMagicId[10]	SubMagicId[11]	SubMagicId[12]	SubMagicId[13]	SubMagicId[14]	SubMagicId[15]	SubMagicId[16]	SubMagicId[17]	SubMagicId[18]	SubMagicId[19]	SubMagicId[20]	SubMagicId[21]	SubMagicId[22]	SubMagicId[23]	SubMagicId[24]	SubMagicId[25]	SubMagicId[26]	SubMagicId[27]	SubMagicId[28]	SubMagicId[29]	SubMagicId[30]	Ability	ResonanceAbility	PlusAbility	SubSkillId[31]	SubSkillId[32]	SubSkillId[33]	SubSkillId[34]	SubSkillId[35]	SubSkillId[36]	SubSkillId[37]	SubSkillId[38]	SubSkillId[39]	SubSkillId[40]	SubSkillId[41]	SubSkillId[42]	SubSkillId[43]	SubSkillId[44]	SubSkillId[45]	SubSkillId[46]	SubSkillId[47]	SubSkillId[48]	SubSkillId[49]	SubSkillId[50]	SubSkillId[51]	SubSkillId[52]	SubSkillId[53]	SubMagicId[31]	SubMagicId[32]	SubMagicId[33]	SubMagicId[34]	SubMagicId[35]	SubMagicId[36]	SubMagicId[37]	SubMagicId[38]	SubMagicId[39]	SubMagicId[40]	SubMagicId[41]	SubMagicId[42]	SubMagicId[43]	SubMagicId[44]	SubMagicId[45]	SubMagicId[46]	SubMagicId[47]	SubMagicId[48]	SubMagicId[49]	SubMagicId[50]	SubMagicId[51]	SubMagicId[52]	SubMagicId[53]	SubMagicId[54]	SubMagicId[55]	SubMagicId[56]	SubMagicId[57]	SubMagicId[58]	SubMagicId[59]	SubMagicId[60]	SubMagicId[61]	SubMagicId[62]	SubMagicId[63]	SubMagicId[64]	SubMagicId[65]	SubMagicId[66]	SubMagicId[67]	SubMagicId[68]	SubMagicId[69]	SubMagicId[70]	SubMagicId[71]	SubMagicId[72]	SubMagicId[73]	SubMagicId[74]	SubMagicId[75]	SubMagicId[76]	SubMagicId[77]	SubMagicId[78]	SubMagicId[79]	SubMagicId[80]	SubMagicId[81]	SubMagicId[82]	SubMagicId[83]	SubMagicId[84]	SubMagicId[85]	SubMagicId[86]	SubMagicId[87]	SubMagicId[88]	SubMagicId[89]	SubMagicId[90]	SubMagicId[91]	SubMagicId[92]	SubMagicId[93]	SubMagicId[94]	SubMagicId[95]	SubMagicId[96]	SubMagicId[97]	SubMagicId[98]	SubMagicId[99]	SubMagicId[100]	SubMagicId[101]	SubMagicId[102]	SubMagicId[103]	SubMagicId[104]	SubMagicId[105]	SubMagicId[106]	SubMagicId[107]	SubMagicId[108]	SubMagicId[109]	SubMagicId[110]	SubMagicId[111]	SubMagicId[112]	SubMagicId[113]	SubMagicId[114]	SubMagicId[115]	SubMagicId[116]	SubMagicId[117]	SubMagicId[118]	SubMagicId[119]	SubMagicId[120]	SubMagicId[121]	SubMagicId[122]	SubMagicId[123]	SubMagicId[124]	SubMagicId[125]	SubMagicId[126]
1	101201	1					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																										25	25																																																																																																																							
2	101201	2					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									5	50	50																																																																																																																							
3	101201	3					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									10	75	75																																																																																																																							
4	101201	4					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									15	100	100																																																																																																																							
5	101201	5					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									20	125	125																																																																																																																							
6	101201	6					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									25	150	150																																																																																																																							
7	101201	7					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									30	175	175																																																																																																																							
8	101201	8					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									35	200	200																																																																																																																							
9	101201	9					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									40	225	225																																																																																																																							
10	101201	10					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									45	250	250																																																																																																																							
11	101201	11					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									52	275	275																																																																																																																							
12	101201	12					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									60	300	300																																																																																																																							
13	101201	13					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									67																																																																																																																									
14	101201	14					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									75																																																																																																																									
15	101201	15					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									82																																																																																																																									
16	101201	16					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									90																																																																																																																									
17	101201	17					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									97																																																																																																																									
18	101201	18					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									105																																																																																																																									
19	101201	19					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									110																																																																																																																									
20	101201	20					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									115																																																																																																																									
21	101201	21					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									120																																																																																																																									
22	101201	22					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									125																																																																																																																									
23	101201	23					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									130																																																																																																																									
24	101201	24					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									135																																																																																																																									
25	101201	25					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									140																																																																																																																									
26	101201	26					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									145																																																																																																																									
27	101201	27					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									150																																																																																																																									
28	101201	28					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									155																																																																																																																									
29	101201	29					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									160																																																																																																																									
30	101201	30					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									165																																																																																																																									
31	101201	31					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									170																																																																																																																									
32	101201	32					100101	100102	100103	100134	100135	100136																									100101	100102	100103	100144	100145	100146																									175																																																																																																																									
