Id	SkillId	Level	ConditionId[1]	ConditionId[2]	ConditionId[3]	UseSkillPoint	UseCoin
1	101201	1	60001			1	2000
2	101201	2	60002			1	3000
3	101201	3	60003			1	4000
4	101201	4	60004			1	5000
5	101201	5	60005			2	6000
6	101201	6	60006			2	7000
7	101201	7	60007			2	8000
8	101201	8	60008			2	9000
9	101201	9	60009			2	10000
10	101201	10	60010			3	12000
11	101201	11	60011			3	14000
12	101201	12	60012			3	16000
13	101201	13	60013			3	18000
14	101201	14	60014			3	20000
15	101201	15	60015			5	22000
16	101201	16	60016			5	24000
17	101201	17	60017			5	26000
18	101201	18					
19	101206	1	60101			1	2000
20	101206	2	60102			1	3000
21	101206	3	60103			1	4000
22	101206	4	60104			1	5000
23	101206	5	60105			2	6000
24	101206	6	60106			2	7000
25	101206	7	60107			2	8000
26	101206	8	60108			2	9000
27	101206	9	60109			2	10000
28	101206	10	60110			3	12000
29	101206	11	60111			3	14000
30	101206	12	60112			3	16000
31	101206	13	60113			3	18000
32	101206	14	60114			3	20000
33	101206	15	60115			5	22000
34	101206	16	60116			5	24000
35	101206	17	60117			5	26000
36	101206	18					
37	101211	1	60201			1	2000
38	101211	2	60202			1	3000
39	101211	3	60203			1	4000
40	101211	4	60204			1	5000
41	101211	5	60205			2	6000
42	101211	6	60206			2	7000
43	101211	7	60207			2	8000
44	101211	8	60208			2	9000
45	101211	9	60209			2	10000
46	101211	10	60210			3	12000
47	101211	11	60211			3	14000
48	101211	12	60212			3	16000
49	101211	13	60213			3	18000
50	101211	14	60214			3	20000
51	101211	15	60215			5	22000
52	101211	16	60216			5	24000
53	101211	17	60217			5	26000
54	101211	18					
55	101216	1	60001			1	2000
56	101216	2	60002			1	3000
57	101216	3	60003			1	4000
58	101216	4	60004			1	5000
59	101216	5	60005			2	6000
60	101216	6	60006			2	7000
61	101216	7	60007			2	8000
62	101216	8	60008			2	9000
63	101216	9	60009			2	10000
64	101216	10	60010			3	12000
65	101216	11	60011			3	14000
66	101216	12	60012			3	16000
67	101216	13	60013			3	18000
68	101216	14	60014			3	20000
69	101216	15	60015			5	22000
70	101216	16	60016			5	24000
71	101216	17	60017			5	26000
72	101216	18					
73	101217	1	60101			1	2000
74	101217	2	60102			1	3000
75	101217	3	60103			1	4000
76	101217	4	60104			1	5000
77	101217	5	60105			2	6000
78	101217	6	60106			2	7000
79	101217	7	60107			2	8000
80	101217	8	60108			2	9000
81	101217	9	60109			2	10000
82	101217	10	60110			3	12000
83	101217	11	60111			3	14000
84	101217	12	60112			3	16000
85	101217	13	60113			3	18000
86	101217	14	60114			3	20000
87	101217	15	60115			5	22000
88	101217	16	60116			5	24000
89	101217	17	60117			5	26000
90	101217	18					
91	101218	1	60501			1	2000
92	101218	2	60502			1	3000
93	101218	3	60503			1	4000
94	101218	4	60504			1	5000
95	101218	5	60505			2	6000
96	101218	6	60506			2	7000
97	101218	7	60507			2	8000
98	101218	8	60508			2	9000
99	101218	9	60509			2	10000
100	101218	10	60510			3	12000
101	101218	11	60511			3	14000
102	101218	12	60512			3	16000
103	101218	13	60513			3	18000
104	101218	14	60514			3	20000
105	101218	15	60515			5	22000
106	101218	16	60516			5	24000
107	101218	17	60517			5	26000
108	101218	18					
109	101221	1	60201			1	2000
110	101221	2	60202			1	3000
111	101221	3	60203			1	4000
112	101221	4	60204			1	5000
113	101221	5	60205			2	6000
114	101221	6	60206			2	7000
115	101221	7	60207			2	8000
116	101221	8	60208			2	9000
117	101221	9	60209			2	10000
118	101221	10	60210			3	12000
119	101221	11	60211			3	14000
120	101221	12	60212			3	16000
121	101221	13	60213			3	18000
122	101221	14	60214			3	20000
123	101221	15	60215			5	22000
124	101221	16	60216			5	24000
125	101221	17	60217			5	26000
126	101221	18					
127	101222	0	61002			3	25000
128	101222	1	61002			3	25000
129	101223	1	60301	61301		1	2000
130	101223	2	60302	61302		1	3000
131	101223	3	60303	61303		1	4000
132	101223	4	60304	61304		1	5000
133	101223	5	60305	61305		2	6000
134	101223	6	60306	61306		2	7000
135	101223	7	60307	61307		2	8000
136	101223	8	60308	61308		2	9000
137	101223	9	60309	61309		2	10000
138	101223	10	60310	61310		3	12000
139	101223	11	60311	61311		3	14000
140	101223	12	60312	61312		3	16000
141	101223	13	60313	61313		3	18000
142	101223	14	60314	61314		3	20000
143	101223	15	60315	61315		5	22000
144	101223	16	60316	61316		5	24000
145	101223	17	60317	61317		5	26000
146	101223	18					
147	101224	0	61004			5	50000
148	101224	1	61004			5	50000
149	101225	0	61005			7	75000
150	101225	1	61005			7	75000
151	101226	0	61006			10	100000
152	101226	1	61006			10	100000
153	101227	0	60400				
154	101227	1	60400				
155	101301	1	60001			1	2000
156	101301	2	60002			1	3000
157	101301	3	60003			1	4000
158	101301	4	60004			1	5000
159	101301	5	60005			2	6000
160	101301	6	60006			2	7000
161	101301	7	60007			2	8000
162	101301	8	60008			2	9000
163	101301	9	60009			2	10000
164	101301	10	60010			3	12000
165	101301	11	60011			3	14000
166	101301	12	60012			3	16000
167	101301	13	60013			3	18000
168	101301	14	60014			3	20000
169	101301	15	60015			5	22000
170	101301	16	60016			5	24000
171	101301	17	60017			5	26000
172	101301	18					
173	101306	1	60101			1	2000
174	101306	2	60102			1	3000
175	101306	3	60103			1	4000
176	101306	4	60104			1	5000
177	101306	5	60105			2	6000
178	101306	6	60106			2	7000
179	101306	7	60107			2	8000
180	101306	8	60108			2	9000
181	101306	9	60109			2	10000
182	101306	10	60110			3	12000
183	101306	11	60111			3	14000
184	101306	12	60112			3	16000
185	101306	13	60113			3	18000
186	101306	14	60114			3	20000
187	101306	15	60115			5	22000
188	101306	16	60116			5	24000
189	101306	17	60117			5	26000
190	101306	18					
191	101311	1	60201			1	2000
192	101311	2	60202			1	3000
193	101311	3	60203			1	4000
194	101311	4	60204			1	5000
195	101311	5	60205			2	6000
196	101311	6	60206			2	7000
197	101311	7	60207			2	8000
198	101311	8	60208			2	9000
199	101311	9	60209			2	10000
200	101311	10	60210			3	12000
201	101311	11	60211			3	14000
202	101311	12	60212			3	16000
203	101311	13	60213			3	18000
204	101311	14	60214			3	20000
205	101311	15	60215			5	22000
206	101311	16	60216			5	24000
207	101311	17	60217			5	26000
208	101311	18					
209	101316	1	60001			1	2000
210	101316	2	60002			1	3000
211	101316	3	60003			1	4000
212	101316	4	60004			1	5000
213	101316	5	60005			2	6000
214	101316	6	60006			2	7000
215	101316	7	60007			2	8000
216	101316	8	60008			2	9000
217	101316	9	60009			2	10000
218	101316	10	60010			3	12000
219	101316	11	60011			3	14000
220	101316	12	60012			3	16000
221	101316	13	60013			3	18000
222	101316	14	60014			3	20000
223	101316	15	60015			5	22000
224	101316	16	60016			5	24000
225	101316	17	60017			5	26000
226	101316	18					
227	101317	1	60101			1	2000
228	101317	2	60102			1	3000
229	101317	3	60103			1	4000
230	101317	4	60104			1	5000
231	101317	5	60105			2	6000
232	101317	6	60106			2	7000
233	101317	7	60107			2	8000
234	101317	8	60108			2	9000
235	101317	9	60109			2	10000
236	101317	10	60110			3	12000
237	101317	11	60111			3	14000
238	101317	12	60112			3	16000
239	101317	13	60113			3	18000
240	101317	14	60114			3	20000
241	101317	15	60115			5	22000
242	101317	16	60116			5	24000
243	101317	17	60117			5	26000
244	101317	18					
245	101318	1	60501			1	2000
246	101318	2	60502			1	3000
247	101318	3	60503			1	4000
248	101318	4	60504			1	5000
249	101318	5	60505			2	6000
250	101318	6	60506			2	7000
251	101318	7	60507			2	8000
252	101318	8	60508			2	9000
253	101318	9	60509			2	10000
254	101318	10	60510			3	12000
255	101318	11	60511			3	14000
256	101318	12	60512			3	16000
257	101318	13	60513			3	18000
258	101318	14	60514			3	20000
259	101318	15	60515			5	22000
260	101318	16	60516			5	24000
261	101318	17	60517			5	26000
262	101318	18					
263	101321	1	60201			1	2000
264	101321	2	60202			1	3000
265	101321	3	60203			1	4000
266	101321	4	60204			1	5000
267	101321	5	60205			2	6000
268	101321	6	60206			2	7000
269	101321	7	60207			2	8000
270	101321	8	60208			2	9000
271	101321	9	60209			2	10000
272	101321	10	60210			3	12000
273	101321	11	60211			3	14000
274	101321	12	60212			3	16000
275	101321	13	60213			3	18000
276	101321	14	60214			3	20000
277	101321	15	60215			5	22000
278	101321	16	60216			5	24000
279	101321	17	60217			5	26000
280	101321	18					
281	101322	0	61002			3	25000
282	101322	1	61002			3	25000
283	101323	1	60301	61301		1	2000
284	101323	2	60302	61302		1	3000
285	101323	3	60303	61303		1	4000
286	101323	4	60304	61304		1	5000
287	101323	5	60305	61305		2	6000
288	101323	6	60306	61306		2	7000
289	101323	7	60307	61307		2	8000
290	101323	8	60308	61308		2	9000
291	101323	9	60309	61309		2	10000
292	101323	10	60310	61310		3	12000
