GroupId	PreGroupId	BaseStage	StageId[0]	StageId[1]	StageId[2]	StageId[3]	TeamInfoId[0]	TeamInfoId[1]	TeamInfoId[2]	TeamInfoId[3]
101		14010113	14010111	14010112	14010113		14010111	14010112	14010113	
102	101	14010123	14010121	14010122	14010123		14010121	14010122	14010123	
103	102	14010133	14010131	14010132	14010133		14010131	14010132	14010133	
201	103	14010213	14010211	14010212	14010213		14010211	14010212	14010213	
202	201	14010223	14010221	14010222	14010223		14010221	14010222	14010223	
203	202	14010234	14010231	14010232	14010233	14010234	14010231	14010232	14010233	14010234
301	203	14010313	14010311	14010312	14010313		14010311	14010312	14010313	
302	301	14010323	14010321	14010322	14010323		14010321	14010322	14010323	
303	302	14010334	14010331	14010332	14010333	14010334	14010331	14010332	14010333	14010334
401	303	14010413	14010411	14010412	14010413		14010411	14010412	14010413	
402	401	14010424	14010421	14010422	14010423	14010424	14010421	14010422	14010423	14010424
403	402	14010434	14010431	14010432	14010433	14010434	14010431	14010432	14010433	14010434
501	403	14020514	14020511	14020512	14020513	14020514	14020511	14020512	14020513	14020514
502	501	14020524	14020521	14020522	14020523	14020524	14020521	14020522	14020523	14020524
503	502	14020534	14020531	14020532	14020533	14020534	14020531	14020532	14020533	14020534
601	503	14020614	14020611	14020612	14020613	14020614	14020611	14020612	14020613	14020614
602	601	14020624	14020621	14020622	14020623	14020624	14020621	14020622	14020623	14020624
603	602	14020634	14020631	14020632	14020633	14020634	14020631	14020632	14020633	14020634
701	603	14020714	14020711	14020712	14020713	14020714	14020711	14020712	14020713	14020714
702	701	14020724	14020721	14020722	14020723	14020724	14020721	14020722	14020723	14020724
703	702	14020734	14020731	14020732	14020733	14020734	14020731	14020732	14020733	14020734
801	703	14020814	14020811	14020812	14020813	14020814	14020811	14020812	14020813	14020814
802	801	14020824	14020821	14020822	14020823	14020824	14020821	14020822	14020823	14020824
803	802	14020834	14020831	14020832	14020833	14020834	14020831	14020832	14020833	14020834
