Id	BuffGroupId	Index	Buff[1]	Buff[2]
1	701	1	1005	1001
2	701	2	1005	
3	702	1	1007	
4	703	1	1012	
5	801	1	1008	1001
6	802	1	1006	
7	803	1	1003	
8	901	1	1013	
9	902	1	1011	
10	903	1	1002	
11	1001	1	1008	1001
12	1002	1	1004	
13	1003	1	1006	
14	1101	1	1005	1001
15	1102	1	1010	
16	1103	1	1003	
17	1201	1	1002	
18	1202	1	1009	
19	1203	1	1007	
20	101	1	1002	
21	102	1	1003	
22	103	1	1004	
23	104	1	1005	
24	105	1	1006	
25	106	1	1007	
26	107	1	1008	
27	108	1	1009	
28	109	1	1010	
29	110	1	1011	
30	111	1	1012	
31	112	1	1013	
32	201	1	1002	
33	202	1	1003	
34	203	1	1004	
35	204	1	1005	
36	205	1	1006	
37	206	1	1007	
38	207	1	1008	
39	208	1	1009	
40	209	1	1010	
41	210	1	1011	
42	211	1	1012	
43	212	1	1013	
48	201	2	1001	
49	202	2	1001	
50	203	2	1001	
51	204	2	1001	
52	205	2	1001	
53	206	2	1001	
54	207	2	1001	
55	208	2	1001	
56	209	2	1001	
57	210	2	1001	
58	211	2	1001	
59	212	2	1001	
