Id	FightEventIds[1]
1	2300001
2	2300002
3	2300003
4	2300004
5	2300006
6	2300005
7	2300008
8	2300007
9	2300009
10	2300010
11	2300011
12	2300012
13	2300013
14	2300014
15	2300016
16	2300015
17	2300018
18	2300017
19	2300019
20	2300020
21	2300021
22	2300022
23	2300023
24	2300024
25	2300025
26	2300026
27	2300027
28	2300028
29	2300029
30	2300030
31	2300031
32	2300032
33	2300033
34	2300034
35	2300035
36	2300036
37	2300037
38	2300038
39	2300039
40	2300040
41	2300041
42	2300042
43	2300043
44	2300044
45	2300045
46	2300046
47	2300047
48	2300048
49	2300049
50	2300050
51	2300051
52	2300052
53	2300053
54	2300054
55	2300055
56	2300028
57	2300057
58	2300058
59	2300059
60	2300060
61	2300061
62	2300062
63	2300063
64	2300064
65	2300065
66	2300066
67	2300067
68	2300068
1001	2301001
1002	2301002
1003	2301003
1004	2301004
1005	2301005
1006	2301006
1007	2301007
1008	2301008
1009	2301009
1010	2301010
1011	2301011
1012	2301012
1013	2301013
1014	2301014
1015	2301015
