Id	FeatureIds[1]	FeatureIds[2]	FeatureIds[3]	BuffGroupIds[1]	BuffGroupIds[2]	BuffGroupIds[3]
1	67	63	57	201	203	112
2	68	64	58	210	208	204
3	67	65	62	201	205	211
4	67	61	59	201	202	207
5	68	66	60	210	109	106
6	61	59	57	202	207	212
7	61	54	47	202	105	109
8	62	60	57	211	106	112
9	61	59	58	202	207	204
10	62	52	48	211	201	108
11	61	59	55	202	207	110
12	62	60	36	211	106	103
13	52	50	49			
14	38	37	25			
15	52	49	44			
16	53	47	44			
17	52	28	25			
18	48	37	28			
19	53	49	38			
101	65	63	58	205	203	204
102	66	60	59	109	106	207
103	65	64	52	205	208	101
104	66	61	57	109	202	112
105	65	62	55	205	211	110
106	66	62	55	109	211	110
