Id	StrongholdGroupId	ActivityId	RewardId[1]	RewardId[2]	RewardId[3]
110	110	76	5003453	5003453	5003453
111	111	76	5003454	5003454	5003454
112	112	76	5003455	5003455	5003455
116	116	76	5003456	5003456	5003456
117	117	76	5003457	5003457	5003457
118	118	76	5003458	5003458	5003458
122	122	76	5003459	5003459	5003459
123	123	76	5003460	5003460	5003460
124	124	76	5003461	5003461	5003461
128	128	76	5003462	5003462	5003462
129	129	76	5003463	5003463	5003463
130	130	76	5003464	5003464	5003464
147	147	76	5003465	5003465	5003465
148	148	76	5003466	5003466	5003466
149	149	76	5003467	5003467	5003467
150	150	76	5003468	5003468	5003468
151	151	76	5003469	5003469	5003469
152	152	76	5003470	5003470	5003470
