Id	CharacterName	Desc	HeadIcon	CgAssetPathLocked	CgAssetPathUnlocked	OpenEffectAssetPath	StoryId	ModelId	IsFemale
1	Lucia	An everlasting flame that never leaves your side\nForest vows traced in her palm	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg015.png	Assets/Product/Texture/Image/BgCg/Cg6701_26.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05514BA	QR6LuxiyaMd010011TX	1
2	Lee	A stray kitten in the wet ruins\nThe clumsy enticement of a cold-faced youth	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg017.png	Assets/Product/Texture/Image/BgCg/Cg6701_28.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05516BA	QR4LiangMd010011TX	
3	Liv	A gentle, pink-eyed girl wants to wash your worries away\nDrifting into a sea of lotus blooms	Assets/Product/Texture/Image/Role/RoleHeadR5Lifu1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg021.png	Assets/Product/Texture/Image/BgCg/Cg6701_32.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05520BA	QR5LifuMd010011PBR	1
4	Karenina	Fireworks Ahead: Highly Flammable\nA professional crew, ready to build	Assets/Product/Texture/Image/Role/RoleHeadR5Kalienina1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg007.png	Assets/Product/Texture/Image/BgCg/Cg6701_18.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05506BA	QR5KalieninaMd010011TX	1
5	Bianca	A shadow play beneath the lanterns\nA starlight promise with the elegant captain	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg031.png	Assets/Product/Texture/Image/BgCg/Cg6701_42.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05531BA	QR5BiankaMd010011TX	1
6	Nanami	Non-stop improvisation\nAn energetic grey-haired girl's surprise film set	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg037.png	Assets/Product/Texture/Image/BgCg/Cg6701_48.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05537BA	QR5YongyechaoMd010011TX	1
7	Kamui	A hero's climb to the mountaintop\nA confession, carved into a sunny young man's blade	Assets/Product/Texture/Image/Role/RoleHeadR4Shenwei1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg001.png	Assets/Product/Texture/Image/BgCg/Cg6701_12.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05525BA	QR4ShenweiMd010011TX	
8	Watanabe	Firelight and night wind at the oasis camp\nA steady man, slow-cooking his feelings just for you	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg012.png	Assets/Product/Texture/Image/BgCg/Cg6701_23.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05511BA	QR4DubianMd010011TX	
9	Lucia	A brushed shoulder with the white-haired Ascendant\nA campus midsummer	Assets/Product/Texture/Image/Role/RoleHeadR7Luxiya1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg016.png	Assets/Product/Texture/Image/BgCg/Cg6701_27.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05515BA	QR7LuxiyaMd010011TX	1
10	Ayla	A river lantern,\na white peony signed in gold\nA pink-haired girl's brightest work	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg034.png	Assets/Product/Texture/Image/BgCg/Cg6701_45.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05534BA	QR3AilaMd010011TX	1
