Id	ParamName	MaxParam	Target	AisacControlName	AisacTargetValue
1	Noise	100	45	MusicTrack_Volume_1	0.5
2	Wave	100	52	MusicTrack_Volume_2	1.0
3	Ripple	100	48	MusicTrack_Volume_3	1.0
4	Harmony	100	57	MusicTrack_Volume_4	1.0
5	Noise	100	61	MusicTrack_Volume_1	0.5
6	Wave	100	49	MusicTrack_Volume_2	1.0
7	Ripple	100	53	MusicTrack_Volume_3	1.0
8	Harmony	100	44	MusicTrack_Volume_4	1.0
9	Noise	100	58	MusicTrack_Volume_1	0.5
10	Wave	100	62	MusicTrack_Volume_2	1.0
11	Ripple	100	47	MusicTrack_Volume_3	1.0
12	Harmony	100	55	MusicTrack_Volume_4	1.0
13	Noise	100	50	MusicTrack_Volume_1	0.5
14	Wave	100	59	MusicTrack_Volume_2	1.0
15	Ripple	100	63	MusicTrack_Volume_3	1.0
16	Harmony	100	36	MusicTrack_Volume_4	1.0
17	Noise	100	54	MusicTrack_Volume_1	0.5
18	Wave	100	60	MusicTrack_Volume_2	1.0
19	Ripple	100	42	MusicTrack_Volume_3	1.0
20	Harmony	100	51	MusicTrack_Volume_4	1.0
21	Noise	100	66	MusicTrack_Volume_1	0.5
22	Wave	100	48	MusicTrack_Volume_2	1.0
23	Ripple	100	65	MusicTrack_Volume_3	1.0
24	Harmony	100	43	MusicTrack_Volume_4	1.0
25	Noise	100	55	MusicTrack_Volume_1	0.5
26	Wave	100	49	MusicTrack_Volume_2	1.0
27	Ripple	100	63	MusicTrack_Volume_3	1.0
28	Noise	100	43	MusicTrack_Volume_4	1.0
29	Wave	100	49	MusicTrack_Volume_1	0.5
30	Ripple	100	55	MusicTrack_Volume_2	1.0
31	Harmony	100	44	MusicTrack_Volume_3	1.0
32	Noise	100	58	MusicTrack_Volume_4	1.0
33	Wave	100	36	MusicTrack_Volume_1	0.5
34	Ripple	100	50	MusicTrack_Volume_2	1.0
35	Harmony	100	47	MusicTrack_Volume_3	1.0
36	Noise	100	54	MusicTrack_Volume_4	1.0
