ActivityId	MainTimeId	MainTemplateId[1]	MainTemplateId[2]	MainTemplateId[3]	MainTemplateCount[1]	MainTemplateCount[2]	MainTemplateCount[3]	TaskSourceGroupId	PeriodId[1]	Name	Kind[1]	SkipId	ActivityIcon	EventCause[1]
46004	48820	50005	102		225	225		46004	4600401	Tidal Wishes	11	89106	Assets/Product/Texture/Image/UiTodolist/UiTodolist208.png	
46010	48801	3	102		150	100		46010	4601001	Dimensional Tuner	8	90068	Assets/Product/Texture/Image/UiTodolist/UiTodolist214.png	
47001	49702	50005	102	90030	200	400	2		4700101	Breakers Resurfaced	1	20235	Assets/Product/Texture/Image/UiTodolist/UiTodolist219.png	16014
47002	49102	90031	31204	1	1	10	12000	47002	4700201	Blazing Rhythm	22	10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist220.png	
47003	49104	90031	31204	1	1	10	12000	47003	4700301	Sunlit Tides	22	10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist221.png	
47005	49920	50005	80142	6005705	2000	1	1	47005	4700501	Blazing Rhapsody	8	1300635	Assets/Product/Texture/Image/UiTodolist/UiTodolist223.png	
47006	49101	50005	102		250	200			4700601	Waves in Wrath	6	11724	Assets/Product/Texture/Image/UiTodolist/UiTodolist224.png	16013
47007	49601	50005	102		500	500		47007	4700701	Rapid Pursuit	6	89093	Assets/Product/Texture/Image/UiTodolist/UiTodolist225.png	
47008	49201	50005	102		250	500		47008	4700801	Love's Leisure Hour	21	89113	Assets/Product/Texture/Image/UiTodolist/UiTodolist226.png	
47009	49551	3			100				4700901	Journal of Promise	11	20385	Assets/Product/Texture/Image/UiTodolist/UiTodolist227.png	17001
47010	49301	3	102		100	100			4701001	Scarlet Arrival	8	20266	Assets/Product/Texture/Image/UiTodolist/UiTodolist228.png	50002
47011	49302	3	102		100	100			4701101	Ripples of the Past	8	20091	Assets/Product/Texture/Image/UiTodolist/UiTodolist229.png	80001
47012	49105	90031	31204	1	1	10	12000	47012	4701201	Drift Into Summer	22	10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist222.png	
