PeriodId	TimeId	MainTemplateId[1]	MainTemplateId[2]	MainTemplateId[3]	MainTemplateCount[1]	MainTemplateCount[2]	MainTemplateCount[3]
4600401	48820	50005	102		225	225	
4601001	48801	3	102		150	100	
4700101	49702	50005	102	90030	200	400	2
4700201	49102	90031	31204	1	1	10	12000
4700301	49104	90031	31204	1	1	10	12000
4700501	49920	50005	80142	6005705	2000	1	1
4700601	49101	50005	102		250	200	
4700701	49601	50005	102		500	500	
4700801	49201	50005	102		250	500	
4700901	49551	3			100		
4701001	49301	3	102		100	100	
4701101	49302	3	102		100	100	
4701201	49105	90031	31204	1	1	10	12000
