ItemId	ItemType	OrbColor	OrbGroup	ItemTier	ItemName	ItemDesc	Icon	SkillId	SaveSkillNote	ItemMagic	Tags[1]	Tags[2]	Tags[3]	UnlockProgressionNodeId
1	1	1	1	1	Shifting Nimbus I	Performs three sweeping melee attacks on nearby enemies in an area centered on the character. DMG: <color=#67ef8a>10/</color><color=#67ef8a>10/</color><color=#67ef8a>10.</color>	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505811	Signal Orb	Close Range	Sprinting Ability	
2	1	1	1	2	Shifting Nimbus II	Performs 3 sweeping melee attacks against nearby enemies, centered on the character. DMG <color=#67ef8a>=10/</color><color=#67ef8a>10/</color><color=#67ef8a>10.</color> Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505812	Signal Orb	Close Range	Sprinting Ability	
3	1	1	1	3	Shifting Nimbus III	Performs 3 sweeping melee attacks against nearby enemies, centered on the character. DMG <color=#67ef8a>=15/</color><color=#67ef8a>15/</color><color=#67ef8a>15.</color> Area expands during Fever. When the final hit lands, gains <color=#67ef8a>1</color> Sprint Charge.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505813	Signal Orb	Close Range	Sprinting Ability	
4	1	1	1	4	Shifting Nimbus IV	Performs 3 sweeping melee attacks against nearby enemies, centered on the character. DMG <color=#67ef8a>=15/</color><color=#67ef8a>15/</color><color=#67ef8a>15.</color> Area expands during Fever. When the final hit lands, gains <color=#67ef8a>1</color> Sprint Charge. After casting, summons a clone that casts the skill one extra time in place.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	502903	503003	505814	Signal Orb	Close Range	Sprinting Ability	
5	1	1	2	1	Stinger I	Performs a thrusting melee attack on the nearest enemy. DMG: <color=#67ef8a>35.</color>	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505811	Signal Orb	Close Range	Extra EXP	
6	1	1	2	2	Stinger II	Performs a thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=35</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505812	Signal Orb	Close Range	Extra EXP	
7	1	1	2	3	Stinger III	Performs a long-range thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=50</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505813	Signal Orb	Close Range	Extra EXP	
8	1	1	2	4	Stinger IV	Performs a long-range thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=50</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>. When picking up Signal Orbs, gains <color=#67ef8a>1</color> bonus EXP.	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	502904	503003	505814	Signal Orb	Close Range	Extra EXP	
9	1	1	3	1	Swipe I	Performs a fan-shaped slashing melee attack on the nearest enemy in an area centered on the character. DMG: <color=#67ef8a>25+</color> Max HP <color=#67ef8a>x 10%.</color>	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505811	Signal Orb	Close Range	Stats Growth	
10	1	1	3	2	Swipe II	Performs a fan-shaped slashing melee attack on the nearest enemy in an area centered on the character. DMG <color=#67ef8a>=25+</color> Max HP <color=#67ef8a>x 10%</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505812	Signal Orb	Close Range	Stats Growth	
