NodeId	NodeName	NodeType	NodeGroup	NodeCost	NodeCondition	TextUnlock	TextLocked	NodeIcon	NodeStats[1]	NodeStats[2]	NodeStats[3]	NodeStats[4]	NodeStatsNum[1]	NodeStatsNum[2]	NodeStatsNum[3]	NodeStatsNum[4]	PreNode	RewardItemIds[1]	RewardItemIds[2]	RewardItemIds[3]	RewardItemIds[4]	RewardItemIds[5]	RewardItemIds[6]	ShopFreshCount
1	Fever Beat	1	1	75	865011	Unlock Fever Beat abilities	Unlock Fever Beat abilities	Assets/Product/Texture/Image/UiPBR/IconFeverComboBoostWindow.png	61				15000											
2	Extra Charge I		1	50		Max Sprint Charge <color=#67ef8a>+2</color>.	Max Sprint Charge <color=#67ef8a>+2</color>.	Assets/Product/Texture/Image/UiPBR/IconDashLimitNumUp.png	55				400000				1							
3	DMG Increase		1	50		Fever DMG <color=#67ef8a>+50%</color>	Fever DMG <color=#67ef8a>+50%</color>	Assets/Product/Texture/Image/UiPBR/IconFeverBasicAttackDmg.png	60				5000				2							
4	Acrobatics		1	50		Signal Orb DMG Bonus <color=#67ef8a>+30%</color>	Signal Orb DMG Bonus <color=#67ef8a>+30%</color>	Assets/Product/Texture/Image/UiPBR/IconSignalOrbsDmgUp.png	12				3000				1							
5	Basic Attack		1	50		Basic ATK DMG <color=#67ef8a>+45%</color>	Basic ATK DMG <color=#67ef8a>+45%</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackDmgUp.png	11				4500				4							
6	Assault	2	4	100	865012	Unlocks Blue Orb Skill [Armored Assault]\nUnlocks Item [Anchor of Courage]	Unlock Blue Orb skill [Armored Assault]\nUnlock Item [Anchor of Courage]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									1	49	50	51	52	268		
7	Summon	2	4	100	865012	Unlocks Red Orb Skill [Dual-Feed Rotor]\nUnlocks Item [Digital Storage]	Unlock Red Orb skill [Dual-Feed Rotor]\nUnlock Item [Digital Storage]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									1	117	118	119	120	267		
8	Extra Charge II	1	2	75	865015	Max Sprint Charge <color=#67ef8a>+2</color>.	Max Sprint Charge <color=#67ef8a>+2</color>.	Assets/Product/Texture/Image/UiPBR/IconDashLimitNumUp.png	55				400000				5							
9	Full Health		2	50		Max HP <color=#67ef8a>+20</color>.	Max HP <color=#67ef8a>+20</color>.	Assets/Product/Texture/Image/UiPBR/IconMaxHPUp.png	1				20				8							
10	Fever Armor		2	50		Fever Armor <color=#67ef8a>+6</color>	Fever Armor <color=#67ef8a>+6</color>	Assets/Product/Texture/Image/UiPBR/IconFeverArmor.png	59				6				9							
11	Signal Orb Drop Rate		2	50		Red Orb drop rate <color=#67ef8a>+15%</color>, Yellow Orb drop rate <color=#67ef8a>+15%</color>, Blue Orb drop rate <color=#67ef8a>+15%</color>	Red Orb drop rate <color=#67ef8a>+15%</color>, Yellow Orb drop rate <color=#67ef8a>+15%</color>, Blue Orb drop rate <color=#67ef8a>+15%</color>	Assets/Product/Texture/Image/UiPBR/IconRedOrbsAttackDropRateUp.png	154	155	156		1500	1500	1500		8							
