StageId	StageName	StageType	FinishWaves	FinishRewards	RecommendChar	MonsterWaves[1]	MonsterWaves[2]	MonsterWaves[3]	MonsterWaves[4]	MonsterWaves[5]	MonsterWaves[6]	MonsterWaves[7]	MonsterWaves[8]	MonsterWaves[9]	MonsterWaves[10]	MonsterWaves[11]	MonsterWaves[12]	MaxWaves	BgmIds[1]	BgmIds[2]	BgmIds[3]	BgmIds[4]	BgmIds[5]	BgmIds[6]	BgmIds[7]	BgmIds[8]	BgmIds[9]	BgmIds[10]	PreStageId	GridStyle	TimeId
30063125	1	1	3	68068	5030	101	102	103										3	2												
30063126	2	1	3	68068	5030	201	202	203										3	2										30063125		
30063127	3	2	9	68069	5058	301	302	303	304	305	306	307	308	309				9	2										30063126	1	
30063128	4	3	9	68069	5030	401	402	403	404	405	406	407	408	409	410	411	412	999	2										30063127	2	
30063129	5	2	9	68069	5057	501	502	503	504	505	506	507	508	509	510	511	512	9	2										30063128	1	
30063130	6	3	9	68069	5057	601	602	603	604	605	606	607	608	609	610	611	612	999	2										30063129	2	
30063131	7	2	9	68069	5056	701	702	703	704	705	706	707	708	709	710	711	712	9	2										30063130	1	
30063132	8	3	9	68069		801	802	803	804	805	806	807	808	809	810	811	812	999	2										30063131	2	
30063133	1	1	3	69444	5060	101	102	103										3	2												49921
30063134	2	1	3	69444	5060	201	202	203										3	2										30063133		49921
30063135	3	2	9	69444	5059	1101	1102	1103	1104	1105	1106	1107	1108	1109				9	7										30063134	1	49921
30063136	4	3	9	69444		1201	1202	1203	1204	1205	1206	1207	1208	1209	1210	1211	1212	999	11	2	7								30063135	2	49921
30063137	5	2	9	69445	5058	1301	1302	1303	1304	1305	1306	1307	1308	1309				9	4										30063136	1	49922
30063138	6	3	9	69445		1401	1402	1403	1404	1405	1406	1407	1408	1409	1410	1411	1412	999	5	2	7	4	11						30063137	2	49922
30063139	7	2	9	69445	5056	1501	1502	1503	1504	1505	1506	1507	1508	1509				9	10										30063138	1	49923
30063140	8	3	9	69445		1601	1602	1603	1604	1605	1606	1607	1608	1609	1610	1611	1612	999	9	2	7	4	5	6	11	8	3	10	30063139	2	49923
